id,title,duration,description,age_limit,box_office_revenue,release_date
3844a965-19f9-41ec-9515-28393113f8c8,Movie Title 27,03:24:00,Sample English description 27.,16,537257047.34,1957-04-16
05de5279-613f-4b9e-b38d-1e4203d75c1a,Movie Title 28,03:50:00,Sample English description 28.,6,680822158.43,1961-09-11
47aa0eb4-151b-4307-b50f-cdd5a44970fd,Movie Title 29,02:28:00,Sample English description 29.,18,118362933.12,1935-12-10
9b151d62-177e-4736-b8e5-6cf69170f9dc,Movie Title 30,02:41:00,Sample English description 30.,0,598780269.59,2003-06-25
8ff07004-cedb-4c53-a5dd-a034c6073f8e,Movie Title 31,03:54:00,Sample English description 31.,16,536430878.73,1962-08-15
09dc474c-41e1-47c7-bd11-8bcc61aba3cc,Movie Title 32,01:19:00,Sample English description 32.,0,947869123.63,1947-03-21
4edba6e8-c8d9-4fe2-a682-124b91f87604,Movie Title 33,03:31:00,Sample English description 33.,12,989271246.89,1966-01-08
81de516b-9d80-447a-a5f3-7f542dab2e6f,Movie Title 34,01:28:00,Sample English description 34.,16,957468691.84,1999-07-04
ac17d6c1-f9a9-42be-9c29-6670939d8d5e,Movie Title 35,03:30:00,Sample English description 35.,16,882963625.09,1987-01-31
afc8c392-95b3-4506-8d6c-719f96692939,Movie Title 36,01:27:00,Sample English description 36.,12,421659134.18,2020-07-11
722c5ad2-9175-4d47-9f8a-d10e496d97f8,Movie Title 37,02:10:00,Sample English description 37.,16,462085336.36,2000-04-20
cf58157c-eee8-4cb1-af62-820e7aadb847,Movie Title 38,03:39:00,Sample English description 38.,18,387841158.64,1976-03-18
502dde18-86e1-4b5c-88c2-8010d067ede7,Movie Title 39,01:09:00,Sample English description 39.,0,113858833.06,1946-08-10
34e41375-9db2-4e92-9f7d-76f36353f4e6,Movie Title 40,01:39:00,Sample English description 40.,18,738732808.87,1932-05-11
d51ce7b5-dd79-4d62-93c4-4a7cff3d22e3,Movie Title 41,02:16:00,Sample English description 41.,18,528832716.32,1957-08-27
23855b90-cb3b-4533-a756-bab9bb81426e,Movie Title 42,02:58:00,Sample English description 42.,6,934467746.71,1961-05-05
33875037-f579-42ed-8aba-818a640c90d9,Movie Title 43,03:12:00,Sample English description 43.,6,417485798.64,1948-03-18
ccda4639-3814-4892-99ea-7aa00cd42d49,Movie Title 44,02:26:00,Sample English description 44.,6,6220662.95,2016-09-13
3ea805cf-d96a-4098-9682-f85f57267e43,Movie Title 45,01:53:00,Sample English description 45.,12,507461111.07,1946-03-04
dac8e4dd-9f17-46ef-9865-5e025b74bf9a,Movie Title 46,02:37:00,Sample English description 46.,18,431637624.15,2002-06-27
1b3bae68-e409-4055-a2c3-d5f42604c9b1,Movie Title 47,02:05:00,Sample English description 47.,12,602363100.51,1966-06-16
6d0ed363-2c1a-43f7-958a-0e0cb6ea3e49,Movie Title 48,02:09:00,Sample English description 48.,12,2672895.28,1928-10-23
2752b069-f76a-4957-8807-6237a31f6d2c,Movie Title 49,02:53:00,Sample English description 49.,12,822448710.05,1988-05-24
99f8ef2d-c0e8-4290-83a6-b460677b198d,Movie Title 50,03:26:00,Sample English description 50.,18,726515132.8,2009-06-15
09876245-335b-4ddd-bdbf-a33e23abc2fb,Movie Title 51,03:44:00,Sample English description 51.,18,814088022.26,2025-10-10
62531f1e-00a6-4fce-ab03-320c8c0852e8,Movie Title 52,03:15:00,Sample English description 52.,12,29890260.72,1920-02-16
af3763b7-7954-464c-8287-33c652eaced6,Movie Title 53,02:33:00,Sample English description 53.,16,782550745.8,1973-04-19
77ae4c44-0946-4323-afdc-9932fc01f4c6,Movie Title 54,01:30:00,Sample English description 54.,18,466126075.68,2026-06-14
7bd0bc4e-e14f-4f46-8e8b-d015a6b4ebc1,Movie Title 55,01:10:00,Sample English description 55.,0,330909539.78,1950-08-15
1aa28ea9-5df1-4ce1-a2db-7524bfcfd4ee,Movie Title 56,01:00:00,Sample English description 56.,16,949324149.81,1987-12-17
1afd4484-49c1-4870-b60c-c754c4ce04d0,Movie Title 57,01:59:00,Sample English description 57.,12,782380012.67,1942-07-04
677a4d7a-ae9b-4bdb-a72f-67f73eba99c7,Movie Title 58,03:22:00,Sample English description 58.,16,885902752.33,1924-04-03
74429405-c801-4e71-87cd-1d726e8cd8f7,Movie Title 59,02:31:00,Sample English description 59.,18,214653471.08,2021-11-06
09901650-fe76-4f18-9bf9-e24256f4909e,Movie Title 60,03:24:00,Sample English description 60.,16,591070813.68,2007-11-30
1444ba20-39ac-43a5-bccc-1cc41c2f03b1,Movie Title 61,01:50:00,Sample English description 61.,12,326795376.14,2018-10-22
2c417aef-cf61-4d18-ae06-06ba2317f36f,Movie Title 62,01:07:00,Sample English description 62.,18,204912707.74,1993-05-03
21bf0f34-fea3-4cb9-b9a7-94e72ffacc8a,Movie Title 63,02:01:00,Sample English description 63.,18,704244600.22,1993-06-21
0c6967ae-a4d8-4920-9d51-c7d95b61d752,Movie Title 64,02:52:00,Sample English description 64.,16,85253338.72,1992-11-14
e9774607-8354-4ac8-adcf-f72a1716c51b,Movie Title 65,03:02:00,Sample English description 65.,16,943890625.89,1933-01-08
6c34f6f7-2682-4513-951e-96f325e7eb19,Movie Title 66,02:34:00,Sample English description 66.,6,848906012.0,1936-11-28
3e78c42e-79c6-46a5-84ba-afca64de824b,Movie Title 67,01:03:00,Sample English description 67.,0,814825448.44,2021-12-19
d01b25df-fe4a-4617-b8b9-ee0c60db6556,Movie Title 68,01:35:00,Sample English description 68.,18,871423927.42,1966-02-25
cb55c939-b208-4183-9cac-dc086cdad4ea,Movie Title 69,03:22:00,Sample English description 69.,6,126211236.26,1949-05-27
9008a579-51a2-4cde-80db-8e277bfd15c0,Movie Title 70,02:47:00,Sample English description 70.,12,692559307.72,2019-11-10
9c0da375-3d5a-4608-b8c7-9e36139d6c33,Movie Title 71,01:34:00,Sample English description 71.,6,115217573.6,2015-07-08
1b7592f5-0e3c-4c80-b5a2-4bd6f1157cba,Movie Title 72,03:16:00,Sample English description 72.,0,71217188.66,1947-01-06
6dc440b0-7d0d-4e8c-8dfa-aacb16c25536,Movie Title 73,03:17:00,Sample English description 73.,6,407559808.28,1921-09-13
7c08735f-311c-4060-9637-87bee6bf9673,Movie Title 74,01:35:00,Sample English description 74.,0,530589861.72,1931-01-07
ecab2181-cb9d-42f7-b110-65986cef6204,Movie Title 75,01:09:00,Sample English description 75.,0,172287866.08,1970-08-15
e52406b3-6af5-42dc-a087-fe3f73c2cb30,Movie Title 76,02:03:00,Sample English description 76.,16,484816841.38,2003-08-27
1f2f5550-69ee-4ec3-82d2-d6cf2d0fc05c,Movie Title 77,02:28:00,Sample English description 77.,6,491085266.6,1963-10-09
ebaef81b-0f73-4e06-bb20-5ef173be29af,Movie Title 78,01:35:00,Sample English description 78.,12,273887639.3,2009-06-14
0eda6729-995b-43a0-9a17-b89035543c47,Movie Title 79,01:07:00,Sample English description 79.,18,323538705.73,1993-07-17
7c01f309-b5b4-4962-843f-9698ce3ede17,Movie Title 80,03:24:00,Sample English description 80.,18,436556725.43,2025-10-20
4ad5c73a-5c99-4e98-9d90-0e03b0986909,Movie Title 81,03:09:00,Sample English description 81.,18,12109727.3,2020-10-23
81d5edb0-d9b4-4d01-968c-8eda5f5b6a03,Movie Title 82,02:19:00,Sample English description 82.,18,127095007.7,1971-10-08
24ce7888-3716-43b8-9d28-4239e17abe25,Movie Title 83,01:08:00,Sample English description 83.,12,578631714.43,1997-10-24
a3128f74-4fcf-4cae-b2db-d585516780d1,Movie Title 84,01:10:00,Sample English description 84.,0,933975215.92,2004-07-01
ac393398-9266-4f9c-8a2d-d14ae2aa114e,Movie Title 85,02:50:00,Sample English description 85.,18,139697717.83,1993-05-31
979d4dea-2a55-46c2-a9d1-95d1bd7fab87,Movie Title 86,02:42:00,Sample English description 86.,0,734306436.47,1986-02-05
5e77bfad-cca1-40e3-9460-368c94829eed,Movie Title 87,01:44:00,Sample English description 87.,12,509301774.57,1954-03-06
9dae46b7-7f1a-4d67-b808-9e9c1b622d6c,Movie Title 88,03:37:00,Sample English description 88.,0,308161789.12,1991-07-21
2d56957e-9087-4750-8598-9d99f1933845,Movie Title 89,03:55:00,Sample English description 89.,18,371858236.61,2022-05-03
f58f62f8-c6cd-4d19-adce-d4d1da14b149,Movie Title 90,02:03:00,Sample English description 90.,16,798652688.98,1988-11-24
f9a7e8ba-2326-4fd7-b228-98060197c4f6,Movie Title 91,01:35:00,Sample English description 91.,18,772084572.28,1945-10-22
85bbf311-5929-482a-a259-21f783c36c59,Movie Title 92,03:43:00,Sample English description 92.,12,994638857.97,1989-01-15
b3bb325c-6f93-4946-9d94-ca835b5be056,Movie Title 93,01:06:00,Sample English description 93.,18,414694299.45,1960-05-19
33b5c78e-cad2-4331-b9b9-a38ef8954dec,Movie Title 94,02:52:00,Sample English description 94.,6,627907086.21,1927-07-20
67021090-97c3-44f2-82ed-cf5f65828f38,Movie Title 95,01:53:00,Sample English description 95.,6,727383379.13,1922-07-17
8a99736e-dad6-489d-aa46-0ee02356e5fe,Movie Title 96,03:42:00,Sample English description 96.,16,67009683.82,1945-08-23
d9b9480a-a1e4-49d4-b8b5-a28a761924b7,Movie Title 97,01:27:00,Sample English description 97.,12,876106737.7,1970-05-05
08c2602d-87d3-4851-b7fb-2bad244b5357,Movie Title 98,01:43:00,Sample English description 98.,6,409613279.39,1987-06-14
b51a7d8d-dbc7-426e-9013-dd2124a444bb,Movie Title 99,02:09:00,Sample English description 99.,18,837466820.02,1980-01-23
67d8b4ad-4640-43f2-9c53-6b4929f30103,Movie Title 100,03:38:00,Sample English description 100.,6,242133127.5,1984-05-09
